id,lng,lat,name,cityname,province,count
0,114.356753,30.554571,武汉大学图书馆医学分馆,武汉市,湖北省,1
1,114.329738,30.556129,湖北省图书馆,武汉市,湖北省,1
2,114.362712,30.535956,武汉大学文理图书馆,武汉市,湖北省,1
3,114.361341,30.528984,武汉大学信息学部图书馆,武汉市,湖北省,1
4,114.344127,30.546845,24小时自助图书馆(鹰台路步行街),武汉市,湖北省,1
5,114.361465,30.543853,武汉大学图书馆工学分馆,武汉市,湖北省,1
6,114.360716,30.520017,华中师范大学图书馆,武汉市,湖北省,1
7,114.353908,30.519158,武汉理工大学东区图书馆,武汉市,湖北省,1
8,114.334603,30.57873,湖北大学图书馆,武汉市,湖北省,1
9,114.347934,30.538523,湖北省科学图书馆,武汉市,湖北省,1
10,114.342068,30.554355,武汉地铁自助图书馆,武汉市,湖北省,1
11,114.363697,30.540086,武汉大学早期建筑图书馆,武汉市,湖北省,1
12,114.330906,30.555658,湖北省图书馆24小时自助图书馆,武汉市,湖北省,1
13,114.309739,30.552163,云曰书馆,武汉市,湖北省,1
14,114.339391,30.544192,湖北省科技文献中心阅览室,武汉市,湖北省,1
15,114.347934,30.538526,中国科学院武汉图书馆,武汉市,湖北省,1
16,114.34779,30.5226,武汉理工大学图书馆,武汉市,湖北省,1
17,114.347696,30.522655,武汉理工大学西区图书馆,武汉市,湖北省,1
18,114.399349,30.518583,中国地质大学西区图书馆,武汉市,湖北省,1
19,114.306663,30.546108,武汉市武昌区图书馆,武汉市,湖北省,1
20,114.317787,30.516489,书画阅览,武汉市,湖北省,1
21,114.304257,30.54022,24小时自助图书馆(体育街),武汉市,湖北省,1
22,114.328351,30.50415,洪山区图书馆,武汉市,湖北省,1
23,114.35375,30.519141,武汉理工大学马房山校区东院图书馆,武汉市,湖北省,1
24,114.371654,30.537071,武汉大学枫园阅览室,武汉市,湖北省,1
25,114.281809,30.603064,武汉图书馆,武汉市,湖北省,1
26,114.333601,30.509736,武汉理工大学南湖新校区图书馆,武汉市,湖北省,1
27,114.294441,30.582595,武汉市少年儿童图书馆,武汉市,湖北省,1
28,114.373129,30.578505,武汉纺织大学东湖校区图书馆(求知路),武汉市,湖北省,1
29,114.308362,30.509387,红旗·九里少儿图书馆,武汉市,湖北省,1
30,114.291664,30.583483,江岸区图书馆,武汉市,湖北省,1
31,114.314003,30.538707,中南财经政法大学首义校区MBA学院图书馆,武汉市,湖北省,1
32,114.316304,30.532624,武汉地铁自助图书馆,武汉市,湖北省,1
33,114.313046,30.536828,中南财经政法大学图书馆,武汉市,湖北省,1
34,114.327644,30.503395,悠贝亲子图书馆,武汉市,湖北省,1
35,114.401543,30.492729,清觅自习室,武汉市,湖北省,1
36,114.357673,30.604761,武汉理工大学余家头校区图书馆,武汉市,湖北省,1
37,114.310387,30.610705,悠贝绘本馆图书馆(武汉天地壹方购物中心店),武汉市,湖北省,1
38,114.286523,30.588194,24小时自助图书馆(解放大道),武汉市,湖北省,1
39,114.366238,30.524329,武汉电力职业技术学院图书馆(暂停营业),武汉市,湖北省,1
40,114.343919,30.51296,武汉理工大学图书馆信息分馆,武汉市,湖北省,1
41,114.339376,30.54418,湖北科教大厦-阅览室,武汉市,湖北省,1
42,114.391221,30.502581,武汉工程大学图书馆,武汉市,湖北省,1
43,114.292513,30.490587,湖北省图书馆(复地悦城分馆),武汉市,湖北省,1
44,114.336416,30.498332,24小时自助图书馆(书城路),武汉市,湖北省,1
45,114.357395,30.471634,华中农业大学图书馆,武汉市,湖北省,1
46,114.291554,30.583407,江岸区少儿图书馆,武汉市,湖北省,1
47,114.389608,30.605656,武汉地铁自助图书馆,武汉市,湖北省,1
48,114.412059,30.512715,华中科技大学图书馆(新馆),武汉市,湖北省,1
49,114.277952,30.627575,汉口图书大世界,武汉市,湖北省,1
50,114.30726,30.480019,湖北工业大学图书馆,武汉市,湖北省,1
51,114.257519,30.569703,24小时自助图书馆,武汉市,湖北省,1
52,114.3482,30.58525,武汉铁路局党校-图书馆,武汉市,湖北省,1
